Date,Quantity
2023-Sep,1220
2023-Sep,23
2023-Sep,729
2023-Sep,2017
2023-Sep,388
2023-Sep,673
2023-Sep,16
2023-Sep,128
2023-Sep,43740
2023-Sep,32
2023-Sep,1859
2023-Sep,14104
2023-Sep,1193
2023-Sep,498
2023-Aug,70
2023-Aug,145
2023-Aug,14596
2023-Aug,2093
2023-Aug,546
2023-Aug,859
2023-Aug,196
2023-Aug,1658
2023-Aug,18788
2023-Aug,432
2023-Aug,1051
2023-Aug,1289
2023-Aug,7400
2023-Aug,612
2023-Aug,968
2023-Aug,4848
2023-Aug,165
2023-Aug,84280
2023-Aug,3382
2023-Aug,304
2023-Jul,1
2023-Aug,8912
2023-Aug,224
2023-Jul,16328
2023-Jul,4145
2023-Jul,664
2023-Jul,472
2023-Jul,40679
2023-Jul,1861
2023-Jul,853
2023-Jul,52
2023-Jul,1562
2023-Jul,35095
2023-Aug,1
2023-Jul,5978
2023-Jul,2227
2023-Aug,1
2023-Jul,124
2023-Jul,1184
2023-Jul,702
2023-Jul,773
2023-Jul,2605
2023-Jul,8399
2023-Jul,35184
2023-Jul,10711
2023-Jul,1
2023-Jun,831
2023-Jun,2577
2023-Jun,11572
2023-Jun,28395
2023-Jun,460
2023-Jun,2546
2023-Jun,2680
2023-Jun,476
2023-Jun,36026
2023-Jun,1784
2023-Jun,1005
2023-Jun,532
2023-Jun,586
2023-Jun,29460
2023-Jun,8225
2023-Jun,1
2023-Jun,5
2023-Jun,270
2023-Jun,9334
2023-Jun,1183
2023-Jun,503
2023-Jun,560
2023-Jun,148
2023-Jun,614
2023-Jun,24175
2023-May,4779
2023-May,22284
2023-May,3109
2023-May,18906
2023-May,3615
2023-May,2461
2023-May,8320
2023-May,21297
2023-May,9686
2023-May,14994
2023-May,144230
2023-May,1545
2023-May,3
2023-May,56
2023-May,158
2023-May,345
2023-May,17608
2023-May,573
2023-May,3612
2023-May,293
2023-May,44
2023-May,617
2023-Apr,2
2023-May,6623
2023-Apr,559
2023-Apr,304
2023-Apr,6523
2023-Apr,7811
2023-Apr,127
2023-Apr,191
2023-Apr,7382
2023-Apr,2185
2023-Apr,12475
2023-Apr,6095
2023-Apr,7009
2023-Apr,16132
2023-Apr,2345
2023-Apr,-229
2023-Apr,12898
2023-Apr,6069
2023-Apr,748
2023-Apr,240
2023-Apr,16036
2023-Apr,15660
2023-Apr,6097
2023-Apr,2233
2023-Apr,2603
2023-Mar,69
2023-Mar,1250
2023-Apr,0
2023-Mar,1482
2023-Mar,1566
2023-Mar,6139
2023-Mar,1
2023-Mar,1468
2023-Mar,689
2023-Mar,2319
2023-Mar,862
2023-Mar,19
2023-Mar,1
2023-Mar,6115
2023-Mar,955
2023-Mar,478
2023-Mar,34
2023-Mar,590
2023-Mar,584
2023-Mar,323
2023-Mar,411
2023-Mar,2186
2023-Mar,7678
2023-Mar,1
2023-Mar,10571
2023-Mar,209
2023-Mar,1937
2023-Feb,2218
2023-Feb,6979
2023-Feb,34
2023-Feb,4606
2023-Feb,7656
2023-Feb,1428
2023-Feb,8296
2023-Feb,847
2023-Feb,26
2023-Feb,8614
2023-Feb,6119
2023-Feb,3418
2023-Feb,1941
2023-Feb,7396
2023-Feb,28
2023-Feb,100
2023-Feb,20111
2023-Feb,242
2023-Feb,1361
2023-Feb,3284
2023-Feb,26
2023-Feb,899
2023-Feb,229
2023-Feb,199
2023-Jan,8510
2023-Jan,10112
2023-Jan,39
2023-Jan,3034
2023-Jan,6432
2023-Jan,473
2023-Jan,367
2023-Jan,7854
2023-Jan,16
2023-Jan,306
2023-Jan,2120
2023-Jan,1949
2023-Jan,4797
2023-Jan,3242
2023-Jan,10
2023-Jan,3321
2023-Jan,3314
2023-Jan,7531
2023-Jan,2039
2023-Jan,1488
2023-Jan,37
2023-Jan,2632
2023-Jan,292
2023-Jan,472
2023-Jan,44133
2023-Jan,15
2022-Dec,4036
2022-Dec,4728
2022-Dec,27
2022-Dec,4621
2022-Dec,7652
2022-Dec,5244
2022-Dec,4314
2022-Dec,10407
2022-Dec,21
2022-Dec,36
2022-Dec,204
2022-Dec,4780
2022-Dec,466
2022-Dec,8421
2022-Dec,2949
2022-Dec,24
2022-Dec,12
2022-Dec,230
2022-Dec,8350
2022-Dec,154
2022-Dec,204
2022-Dec,4142
2022-Dec,20256
2022-Nov,8
2022-Dec,4284
2022-Nov,20613
2022-Nov,938
2022-Nov,208
2022-Nov,2
2022-Nov,153
2022-Nov,2
2022-Nov,39
2022-Nov,10126
2022-Nov,3863
2022-Nov,157
2022-Nov,33
2022-Nov,61
2022-Nov,1530
2022-Nov,1378
2022-Nov,6072
2022-Nov,114
2022-Nov,1079
2022-Nov,156
2022-Nov,361
2022-Nov,624
2022-Nov,121
2022-Nov,422
2022-Nov,2705
2022-Oct,465
2022-Oct,26
2022-Oct,5661
2022-Oct,16263
2022-Oct,929
2022-Oct,300
2022-Oct,37
2022-Oct,8086
2022-Oct,72
2022-Oct,9910
2022-Oct,620
2022-Oct,2
2022-Oct,126
2022-Oct,4094
2022-Oct,135
2022-Oct,207
2022-Oct,1203
2022-Oct,2
2022-Oct,1203
2022-Oct,5342
2022-Oct,524
2022-Oct,4727
2022-Oct,1920
2022-Oct,1
2022-Oct,36
2022-Sep,401
2022-Sep,56
2022-Sep,744
2022-Sep,328
2022-Sep,500
2022-Sep,38
2022-Sep,8086
2022-Sep,103
2022-Sep,307
2022-Sep,1197
2022-Sep,617
2022-Sep,4
2022-Sep,58
2022-Sep,35
2022-Sep,1025
2022-Sep,7457
2022-Sep,1831
2022-Sep,2
2022-Sep,67
2022-Sep,815
2022-Sep,871
2022-Sep,2516
2022-Sep,240
2022-Sep,6086
2022-Sep,4857
2022-Aug,10200
2022-Aug,921
2022-Aug,1312
2022-Aug,4060
2022-Aug,3033
2022-Aug,893
2022-Aug,175
2022-Aug,533
2022-Aug,194
2022-Aug,24
2022-Aug,4067
2022-Aug,12178
2022-Aug,1005
2022-Aug,143
2022-Aug,8
2022-Aug,2405
2022-Aug,709
2022-Aug,219
2022-Aug,20449
2022-Aug,1357
2022-Aug,20
2022-Aug,593
2022-Aug,349
2022-Aug,528
2022-Aug,16639
2022-Aug,837
2022-Jul,1566
2022-Jul,313
2022-Jul,656
2022-Jul,156
2022-Aug,1
2022-Jul,736
2022-Jul,4
2022-Jul,489
2022-Jul,14363
2022-Jul,800
2022-Jul,176
2022-Jul,1485
2022-Jul,8
2022-Jul,1
2022-Jul,185
2022-Jul,522
2022-Jul,18135
2022-Jul,843
2022-Jul,20496
2022-Jul,21
2022-Jul,5
2022-Jul,9236
2022-Jul,11949
2022-Jul,241
2022-Jul,4679
2022-Jul,12
2022-Jul,523
2022-Jun,621
2022-Jul,12
2022-Jun,124131
2022-Jun,560
2022-Jun,2227
2022-Jun,3
2022-Jun,11076
2022-Jun,1530
