Date,Quantity
12/17/2023,6842
12/17/2023,15047
12/17/2023,15043
12/17/2023,12421
12/10/2023,1
12/10/2023,1112
12/10/2023,142
12/10/2023,7645
12/10/2023,6295
12/3/2023,4
12/10/2023,3224
12/3/2023,4
12/3/2023,922
12/3/2023,1978
12/3/2023,38569
12/3/2023,1828
11/12/2023,1
12/3/2023,13372
11/26/2023,9854
11/26/2023,4275
11/26/2023,154
11/26/2023,2437
11/26/2023,1119
11/19/2023,34
11/19/2023,346
11/19/2023,265
11/12/2023,4
11/19/2023,14236
11/12/2023,319
11/12/2023,456
11/12/2023,674
11/12/2023,1104
11/12/2023,224
11/12/2023,84
11/5/2023,33
11/5/2023,150
11/5/2023,138
11/5/2023,436
11/5/2023,14674
10/29/2023,47
10/29/2023,120
10/29/2023,910
10/29/2023,134
10/29/2023,8694
10/22/2023,3389
10/29/2023,12
10/22/2023,3742
10/22/2023,5517
10/22/2023,3055
10/22/2023,14077
10/15/2023,6015
10/15/2023,11231
10/15/2023,26112
10/15/2023,4170
10/15/2023,3376
10/8/2023,65
10/15/2023,36
10/1/2023,1
10/8/2023,1101
10/8/2023,206
10/8/2023,8275
10/8/2023,2760
10/1/2023,8997
10/8/2023,12
10/1/2023,3923
10/1/2023,6747
10/1/2023,84
10/1/2023,13914
9/24/2023,997
9/24/2023,2015
9/24/2023,39
9/24/2023,12460
9/24/2023,496
9/24/2023,3
9/17/2023,138
9/17/2023,178
9/17/2023,1220
9/17/2023,23
9/17/2023,729
9/17/2023,2017
9/10/2023,388
9/10/2023,673
9/10/2023,16
9/10/2023,125
9/24/2023,3
9/10/2023,43740
9/3/2023,32
9/3/2023,1859
9/3/2023,14104
9/3/2023,1193
8/27/2023,498
8/27/2023,70
8/27/2023,145
8/27/2023,14596
8/27/2023,2093
8/20/2023,150
8/27/2023,396
8/20/2023,859
8/20/2023,196
8/20/2023,1658
8/20/2023,18788
8/13/2023,432
8/13/2023,1051
8/13/2023,1289
8/13/2023,7400
8/6/2023,588
8/13/2023,24
8/6/2023,968
8/6/2023,4848
8/6/2023,165
8/6/2023,84280
7/30/2023,3382
7/30/2023,304
7/23/2023,1
7/30/2023,8912
7/30/2023,224
7/30/2023,16328
7/23/2023,4145
7/23/2023,664
7/23/2023,472
7/23/2023,40679
7/16/2023,2
7/23/2023,1859
7/16/2023,853
7/16/2023,52
7/16/2023,1562
7/16/2023,35095
8/6/2023,1
7/16/2023,5978
7/9/2023,2227
8/6/2023,1
7/9/2023,124
7/2/2023,1
7/9/2023,1183
7/9/2023,702
7/9/2023,773
7/2/2023,2605
7/2/2023,8399
7/2/2023,35184
7/2/2023,10711
6/25/2023,1
6/25/2023,831
6/25/2023,2577
6/25/2023,11572
6/25/2023,28395
6/25/2023,460
6/18/2023,2546
6/18/2023,2679
6/25/2023,1
6/18/2023,474
6/25/2023,2
6/18/2023,36026
6/18/2023,1784
6/11/2023,1003
6/18/2023,2
6/11/2023,532
6/4/2023,2
6/11/2023,584
6/11/2023,29460
6/4/2023,8
6/11/2023,8217
6/18/2023,1
6/4/2023,4
6/18/2023,1
6/4/2023,268
6/11/2023,2
6/4/2023,9332
6/11/2023,2
6/4/2023,1183
6/4/2023,503
6/4/2023,560
